ch,link_text,link_destination,domain,is_sublink
11.13,[1996] 1 Qd R 559,https://archive.sclqld.org.au/qjudgment/1995/QCA95-328.pdf,archive.sclqld.org.au,False
11.13,[1996] 1 Qd R 559,https://archive.sclqld.org.au/qjudgment/1995/QCA95-328.pdf,archive.sclqld.org.au,False
11.13,) [2004] 1 Qd R 162,https://archive.sclqld.org.au/qjudgment/2003/QCA03-070.pdf,archive.sclqld.org.au,False
11.13,[2002] QCA 206,https://archive.sclqld.org.au/qjudgment/2002/QCA02-206.pdf,archive.sclqld.org.au,False
11.13,[1984] 2 Qd R 545,https://www.queenslandjudgments.com.au/case/id/506721,queenslandjudgments.com.au,False
11.13,[2007] QCA 210,http://archive.sclqld.org.au/qjudgment/2007/QCA07-210.pdf,archive.sclqld.org.au,False
11.13,209 A Crim R 379,https://advance-lexis-com.ezproxy-az.sclqld.org.au/api/permalink/35421119-b0cc-43c7-bd2c-85a44bc240ee/?context=1201008&identityprofileid=98NNDT55483,advance-lexis-com.ezproxy-az.sclqld.org.au,False
11.13,[2011] QCA 19,https://www.queenslandjudgments.com.au/caselaw/qca/2011/19/pdf-view,queenslandjudgments.com.au,False
11.13,[1981] Qd R 209,https://www.queenslandjudgments.com.au/case/id/511983,queenslandjudgments.com.au,False
11.13,[1997] 1 Qd R 623,https://www.queenslandjudgments.com.au/case/id/507343,queenslandjudgments.com.au,False
11.13,[2005] 2 Qd R 540,https://www.queenslandjudgments.com.au/case/id/508269,queenslandjudgments.com.au,False
11.13,[2018] QCA 125,https://www.queenslandjudgments.com.au/caselaw/qca/2018/125,queenslandjudgments.com.au,False
11.13,[2013] QCA 223,https://archive.sclqld.org.au/qjudgment/2013/QCA13-223.pdf,archive.sclqld.org.au,False
11.13,[2006] QCA 242,https://archive.sclqld.org.au/qjudgment/2006/QCA06-242.pdf,archive.sclqld.org.au,False
11.14,R v Johnson [1957] St R 594,https://www.queenslandjudgments.com.au/case/id/510813,queenslandjudgments.com.au,False
11.14,[2004] 2 Qd R 672,https://www.queenslandjudgments.com.au/case/id/502399,queenslandjudgments.com.au,False
11.15,(2021) 7 QR 140,https://www.queenslandjudgments.com.au/case/id/512983,queenslandjudgments.com.au,False
11.15,[2021] QCA 1,https://www.queenslandjudgments.com.au/caselaw/qca/2021/1,queenslandjudgments.com.au,False
11.15,[2004] 1 Qd R 162,https://www.queenslandjudgments.com.au/case/id/501169,queenslandjudgments.com.au,False
11.15,in George v Rockett (1990) 170 CLR 104,https://jade.io/article/67566,jade.io,False
11.15,"[2018] QCA 125,",https://www.queenslandjudgments.com.au/caselaw/qca/2018/125,queenslandjudgments.com.au,False
11.15,[2005] 2 Qd R 540,https://www.queenslandjudgments.com.au/case/id/508269,queenslandjudgments.com.au,False
11.16,[1996] 1 Qd R 559,https://www.queenslandjudgments.com.au/case/id/500604,queenslandjudgments.com.au,False
11.16,(2011) 209 A Crim R 379,https://plus.lexis.com/apac/search/?pdmfid=1539278&crid=43fd4be1-b141-4e28-94df-e4a004681401&pdsearchterms=209%20A%20CRIM%20R%20379&pdtypeofsearch=searchboxclick&pdsearchtype=SearchBox&pdstartin=hlct:1:0&pdpsf=&pdqttype=and&pdquerytemplateid=&ecomp=c5cck&earg=pdsf&prid=ab083301-00fd-41ee-a8a5-42648b05a346,plus.lexis.com,False
11.16,[2011] QCA 19,https://www.queenslandjudgments.com.au/caselaw/qca/2011/19,queenslandjudgments.com.au,False
